Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuit1,Chrome 69.0.3497.100,,2018-09-24 12:04:13,2018-09-24 12:04:24,"11,256s",PASSED
,,,,,,
Test Cases/TestCase4,Chrome 69.0.3497.100,,2018-09-24 12:04:13,2018-09-24 12:04:19,"6,107s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-24 12:04:13,2018-09-24 12:04:16,"2,691s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-24 12:04:16,2018-09-24 12:04:18,"1,596s",PASSED
click,Chrome 69.0.3497.100,,2018-09-24 12:04:18,2018-09-24 12:04:18,"0,334s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 12:04:18,2018-09-24 12:04:18,"0,127s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 12:04:18,2018-09-24 12:04:18,"0,113s",PASSED
click,Chrome 69.0.3497.100,,2018-09-24 12:04:18,2018-09-24 12:04:18,"0,372s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-09-24 12:04:18,2018-09-24 12:04:19,"0,642s",PASSED
,,,,,,
Test Cases/TestCase4,Chrome 69.0.3497.100,,2018-09-24 12:04:19,2018-09-24 12:04:24,"4,886s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-24 12:04:19,2018-09-24 12:04:21,"1,894s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-24 12:04:21,2018-09-24 12:04:23,"1,457s",PASSED
click,Chrome 69.0.3497.100,,2018-09-24 12:04:23,2018-09-24 12:04:23,"0,328s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 12:04:23,2018-09-24 12:04:23,"0,087s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 12:04:23,2018-09-24 12:04:23,"0,082s",PASSED
click,Chrome 69.0.3497.100,,2018-09-24 12:04:23,2018-09-24 12:04:23,"0,400s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-09-24 12:04:23,2018-09-24 12:04:24,"0,627s",PASSED
